section,local_element_index,body_index,element_type,style,rows,cols,equation_labels,omath_count,omath_para_count,drawing_count,text
2.6,0,240,PARAGRAPH,Heading 4,,,,0,0,0,Variational Quantum Circuit
2.6,1,241,PARAGRAPH,First Paragraph,,,,1,0,0,"mengembangkan QLSTM sebagai arsitektur hybrid quantum–classical yang mempertahankan pengelolaan urutan secara klasik dan menggunakan VQC pada transformasi gerbang. Dalam penelitian ini, parameter rangkaian dioptimalkan pada simulator kuantum. Vektor fitur klasik diproyeksikan ke dimensi yang sesuai dengan jumlah qubit, kemudian dikodekan sebagai sudut rotasi:"
2.6,2,242,TABLE,,1.0,2.0,2.14,1,1,0,| (2.14)
2.6,3,243,PARAGRAPH,First Paragraph,,,,0,0,0,Keadaan tersebut diproses oleh rangkaian parametrik:
2.6,4,244,TABLE,,1.0,2.0,2.15,1,1,0,| (2.15)
2.6,5,245,PARAGRAPH,First Paragraph,,,,1,0,0,dan menghasilkan fitur klasik melalui nilai harapan operator Pauli-:
2.6,6,246,TABLE,,1.0,2.0,2.16,1,1,0,| (2.16)
2.6,7,247,PARAGRAPH,First Paragraph,,,2.14;2.15;2.16,0,0,0,"Aliran komputasi VQC dimulai dari pengodean pada Persamaan (2.14), dilanjutkan transformasi parametrik pada Persamaan (2.15), dan diakhiri pengukuran pada Persamaan (2.16). Nilai hasil pengukuran menjadi fitur klasik yang digunakan dalam gerbang QLSTM."
2.6,8,248,PARAGRAPH,Normal,,,,1,0,0,"Rotasi terparametrisasi dan gerbang pengait (entangling gates) membentuk . Jumlah qubit, kedalaman rangkaian, dan jumlah lapisan diperlakukan sebagai hiperparameter yang dibatasi agar simulasi tetap realistis secara komputasional."
2.7,0,249,PARAGRAPH,Heading 4,,,,0,0,0,Arsitektur QLSTM untuk Estimasi Gain
2.7,1,250,PARAGRAPH,First Paragraph,,,,0,0,0,"menjelaskan bahwa QLSTM mengganti transformasi affine tertentu pada gerbang LSTM dengan fungsi yang mengandung VQC. menerapkan arsitektur serupa untuk mempelajari data sekuensial pada kompensasi galat termal, sedangkan menerapkannya pada prediksi irradiansi surya. Kedua penerapan tersebut menunjukkan fleksibilitas QLSTM pada data temporal, tetapi tidak menjadi bukti langsung keunggulannya pada ELC PLTMH. Secara ringkas, transformasi gerbang QLSTM dinyatakan sebagai:"
2.7,2,251,TABLE,,2.0,2.0,2.17;2.18,2,2,0,| (2.17) || | (2.18)
2.7,3,252,PARAGRAPH,First Paragraph,,,2.17;2.18,0,0,0,Persamaan (2.17) dan (2.18) menunjukkan penggantian transformasi affine klasik dengan keluaran VQC pada gerbang QLSTM. Estimasi gain direalisasikan melalui kepala regresi yang menerima keadaan tersembunyi terakhir sebagai masukan.
2.7,4,253,PARAGRAPH,Body Text,,,2.12;2.13,2,0,0,"Pembaruan keadaan sel dan keadaan tersembunyi mengikuti Persamaan (2.12)–(2.13). Keadaan tersembunyi terakhir diteruskan ke kepala regresi klasik yang menghasilkan dua nilai laten dan . Agar gain selalu berada dalam rentang yang ditetapkan, keluaran dipetakan menggunakan fungsi sigmoid:"
2.7,5,254,TABLE,,2.0,2.0,2.19;2.20,2,2,0,| (2.19) || | (2.20)
2.7,6,255,PARAGRAPH,First Paragraph,,,2.19;2.20,0,0,0,Persamaan (2.19) dan (2.20) menjamin bahwa prediksi gain selalu berada di dalam rentang yang ditetapkan pada Subbab 3.4. Kedua persamaan digunakan pada tahap integrasi closed-loop dalam Subbab 3.9.
2.7,7,256,PARAGRAPH,Body Text,,,,8,0,0,"Estimasi gain tersebut ditempatkan dalam sistem kendali sebagai penghubung antara informasi temporal kondisi operasi dan pengendali PI. Variabel , , , , dan disusun menjadi urutan temporal , kemudian diproses oleh QLSTM untuk menghasilkan dan . Posisi QLSTM dan aliran informasi dalam sistem PLTMH–ELC ditunjukkan pada Gambar 2.3."
2.7,8,257,PARAGRAPH,Body Text,,,,0,0,1,
2.7,9,258,PARAGRAPH,Caption,,,,0,0,0,Gambar II.3 Arsitektur konseptual estimasi gain PI adaptif berbasis QLSTM pada sistem PLTMH–ELC
2.7,10,259,PARAGRAPH,Body Text,,,2.19;2.20,3,0,0,"Gambar 2.3 menunjukkan bahwa QLSTM menerima urutan temporal yang dibentuk dari kondisi operasi PLTMH–ELC. Keadaan tersembunyi hasil pemrosesan urutan tersebut diteruskan ke kepala regresi untuk menghasilkan dan sesuai Persamaan (2.19) dan (2.20). Dengan struktur ini, QLSTM berfungsi sebagai pengestimasi gain berdasarkan informasi temporal dan tidak menghasilkan sinyal kendali ELC secara langsung."
2.7,11,260,PARAGRAPH,Body Text,,,,3,0,0,"Gain hasil estimasi digunakan oleh pengendali PI untuk membentuk berdasarkan galat . Sinyal kendali menentukan rasio kerja PWM dan pensaklaran IGBT yang mengatur . Perubahan daya beban buangan memengaruhi keseimbangan daya dan respons frekuensi PLTMH–ELC, sehingga kondisi operasi berikutnya kembali membentuk masukan temporal bagi QLSTM. Mekanisme penerapan dan penghalusan gain sebelum digunakan oleh PI dibahas pada Subbab 2.8."
2.7,12,261,PARAGRAPH,Body Text,,,,0,0,0,Fungsi rugi pelatihan menggunakan kesalahan kuadrat berbobot pada gain yang telah dinormalisasi:
2.7,13,262,TABLE,,1.0,2.0,2.21,1,1,0,| (2.21)
2.7,14,263,PARAGRAPH,Normal,,,,2,0,0,"Bobot dan mengompensasi perbedaan skala kedua gain. Parameter klasik dan parameter rangkaian kuantum dilatih bersama menggunakan optimisasi gradien. Istilah optimisasi pada konteks ini merujuk pada proses pelatihan parameter model, bukan penempatan QLSTM sebagai algoritma optimasi gain."
2.8,0,264,PARAGRAPH,Heading 4,,,,0,0,0,Penerapan Gain dalam Loop Kendali
2.8,1,265,PARAGRAPH,First Paragraph,,,,4,0,0,"Periode sampling pengendali dibedakan dari interval pembaruan model , dengan dan . Gain yang diterapkan dihaluskan sebagai:"
2.8,2,266,TABLE,,2.0,2.0,2.22;2.23,2,2,0,| (2.22) || | (2.23)
2.8,3,267,PARAGRAPH,First Paragraph,,,2.22;2.23,1,0,0,Persamaan (2.22) dan (2.23) menghaluskan perubahan gain sebelum diterapkan pada PI. Penerapan keduanya dibatasi pada interval supervisori sebagaimana dijelaskan pada Subbab 3.9.
2.8,4,268,PARAGRAPH,Normal,,,,2,0,0,"mengingatkan bahwa penerapan gain scheduling perlu mempertimbangkan dinamika perpindahan antartitik operasi, bukan hanya kestabilan pada setiap titik secara terpisah. Atas dasar tersebut, dan dievaluasi agar gain cukup responsif tanpa menimbulkan perubahan berfrekuensi tinggi. Jika keluaran model tidak tersedia atau melanggar pemeriksaan validitas numerik, sistem menggunakan gain aman hasil penalaan awal. Mekanisme ini merupakan perlindungan simulatif dan bukan bukti kestabilan global untuk seluruh kemungkinan kondisi."
2.9,0,269,PARAGRAPH,Heading 4,,,,0,0,0,Indikator Kinerja dan Pengujian
2.9,1,270,PARAGRAPH,First Paragraph,,,,0,0,0,Deviasi frekuensi didefinisikan sebagai:
2.9,2,271,TABLE,,1.0,2.0,2.24,1,1,0,| (2.24)
2.9,3,272,PARAGRAPH,First Paragraph,,,,0,0,0,Indikator yang digunakan meliputi:
2.9,4,273,TABLE,,2.0,2.0,2.25;2.26,2,2,0,| (2.25) || | (2.26)
2.9,5,274,PARAGRAPH,First Paragraph,,,2.7,5,0,0,"serta waktu tunak , yaitu waktu terakhir respons memasuki dan tetap berada dalam pita toleransi terhadap . IAE, , dan digunakan dalam pembentukan label sesuai Persamaan (2.7); ITAE digunakan sebagai indikator evaluasi tambahan."
2.9,6,275,PARAGRAPH,Body Text,,,,1,0,0,Peningkatan relatif metode terhadap baseline dihitung sebagai:
2.9,7,276,TABLE,,1.0,2.0,2.27,1,1,0,| (2.27)
2.9,8,277,PARAGRAPH,First Paragraph,,,2.24;2.25;2.26;2.27,2,0,0,"Persamaan (2.24) menjadi dasar perhitungan Persamaan (2.25) dan (2.26), sedangkan Persamaan (2.27) digunakan untuk menyatakan peningkatan relatif terhadap baseline. Prosedur perhitungan dan pengujian statistiknya dijabarkan pada Subbab 3.10. dengan sebagai indikator yang semakin baik ketika nilainya mengecil. Pengujian statistik dilakukan terhadap nilai indikator pada skenario yang sama. Normalitas selisih diperiksa terlebih dahulu; paired t-test digunakan jika asumsi terpenuhi, sedangkan Wilcoxon signed-rank test digunakan jika tidak terpenuhi. Ukuran efek dan interval kepercayaan 95% dilaporkan bersama nilai ."
2.10,0,278,PARAGRAPH,Heading 4,,,,0,0,0,Kajian Penelitian Terdahulu dan Posisi Penelitian
2.10,1,279,PARAGRAPH,First Paragraph,,,,0,0,0,"memperlihatkan kemampuan ELC dalam mempertahankan frekuensi sekaligus mengatur tegangan, sedangkan memetakan perkembangan ELC dari pengendali analog menuju sistem digital dan cerdas. memperluas pengendalian frekuensi melalui integrasi katup aliran dan ELC, sementara mengembangkan ELC cerdas untuk sistem mikrohidro mandiri. menunjukkan perkembangan lain melalui ELC berbasis baterai, tetapi konfigurasi tersebut berada di luar batas penelitian ini yang menggunakan beban buangan resistif. serta menunjukkan bahwa pembaruan gain PI berdasarkan kondisi operasi dapat memperbaiki respons dinamis PLTMH dan ELC. , , dan memperlihatkan peran metaheuristik dalam memperluas pencarian parameter, tetapi pendekatan tersebut tidak secara langsung memetakan urutan kondisi operasi menjadi gain. Pada sisi pembelajaran temporal, menyediakan dasar LSTM, sedangkan mengintegrasikan VQC ke dalam arsitektur LSTM. selanjutnya menunjukkan penggunaan QLSTM untuk kompensasi galat termal alat mesin; penerapan tersebut memperkuat relevansi pemodelan sekuensial, tetapi bukan bukti langsung keunggulannya pada ELC PLTMH."
2.10,2,280,PARAGRAPH,First Paragraph,,,,0,0,0,"Perkembangan penelitian yang berkaitan dengan pengendalian ELC, penyesuaian gain PI, pembelajaran temporal, dan QLSTM dirangkum pada Tabel 2.1. Sintesis ini digunakan untuk mengidentifikasi kontribusi setiap penelitian terdahulu sekaligus menunjukkan kesenjangan yang menjadi dasar posisi penelitian ini."
2.10,3,281,PARAGRAPH,Normal,,,,0,0,0,
2.10,4,282,PARAGRAPH,Caption,,,,0,0,0,Tabel II.1 Sintesis State of the Art dan Posisi Penelitian
2.10,5,283,TABLE,,15.0,5.0,,2,0,0,"Peneliti dan Tahun | Metode/Pendekatan | Objek Studi | Kontribusi dan Keterbatasan | Posisi terhadap Penelitian Ini || | ELC termodifikasi untuk pengaturan frekuensi dan tegangan | Pembangkit hidro skala kecil dengan SEIG | Menunjukkan bahwa ELC dapat mempertahankan frekuensi sekaligus mengatur tegangan melalui pengalihan daya menuju beban buangan. Penelitian belum membahas penentuan gain PI berdasarkan urutan kondisi operasi. | Menjadi dasar penggunaan ELC dan beban buangan untuk menjaga keseimbangan daya pada pembangkit hidro mandiri. || | Intelligent Electronic Load Controller | Sistem mikrohidro mandiri | Mengembangkan ELC cerdas untuk meningkatkan respons pengendalian pada kondisi beban yang berubah. Pendekatan kecerdasan diterapkan pada mekanisme pengendalian ELC, tetapi belum menggunakan pembelajaran temporal untuk menghasilkan gain PI adaptif. | Menunjukkan perkembangan ELC dari pengendalian konvensional menuju pengendalian berbasis kecerdasan komputasional. || | Integrasi flow control valve dan ELC | PLTMH terisolasi | Menggabungkan pengaturan aliran mekanis dan pengalihan daya elektrik untuk regulasi frekuensi. Penelitian berfokus pada koordinasi dua aktuator dan belum mempelajari pemetaan kondisi temporal terhadap gain PI. | Memperkuat pemodelan interaksi turbin, generator, pengendali aliran, dan ELC dalam regulasi frekuensi PLTMH. || | Kajian dan pengujian eksperimental ELC | Pembangkit mikrohidro mandiri | Menjelaskan prinsip kerja, konfigurasi, perangkat daya, dan perkembangan ELC untuk mempertahankan daya total generator. Kajian belum mengembangkan penjadwalan gain PI berbasis model sekuensial. | Menjadi dasar konfigurasi ELC, hubungan daya beban konsumen–beban buangan, dan mekanisme regulasi frekuensi. || | Self-tuning fuzzy PI controller | PLTMH dengan perubahan beban besar | Menyesuaikan parameter PI terhadap kondisi operasi dan menguji penerapannya secara waktu nyata. Penyesuaian gain didasarkan pada sistem fuzzy, bukan pemetaan jendela temporal menggunakan LSTM atau QLSTM. | Memberikan dasar bahwa satu pasangan gain tetap dapat memiliki keterbatasan dan bahwa gain PI perlu disesuaikan terhadap kondisi operasi PLTMH. || | Fuzzy PI-based AC chopper ELC | Sistem pikohidro | Memperbarui gain PI berdasarkan galat dan perubahan galat untuk meningkatkan respons ELC. Masukan pengendali terbatas pada keadaan sesaat dan belum memanfaatkan dependensi temporal dalam suatu jendela pengamatan. | Mendukung kebutuhan penyesuaian gain PI pada ELC sekaligus menunjukkan ruang pengembangan menuju penentuan gain berbasis informasi temporal. || | Optimasi luring pengendali PI menggunakan BOA | Pengendalian frekuensi mikrogrid | Menunjukkan bahwa optimasi dapat menghasilkan parameter pengendali berdasarkan fungsi objektif respons frekuensi. Gain hasil optimasi tidak dipetakan secara langsung dari urutan kondisi operasi selama pengendalian. | Mendukung penggunaan fungsi objektif untuk memperoleh parameter pengendali acuan, tetapi algoritma metaheuristiknya tidak digunakan dalam penelitian ini. || | Soft computing untuk pengendalian frekuensi | Mikrogrid terisolasi dengan penyimpanan energi | Mengembangkan pengendalian frekuensi berbasis metode komputasional pada mikrogrid terisolasi. Objek penelitian berfokus pada mikrogrid dengan penyimpanan energi dan bukan pada penentuan gain PI ELC berbasis QLSTM. | Memperkuat relevansi metode komputasional dan respons frekuensi sebagai dasar evaluasi pengendalian sistem terisolasi. || | LSTM untuk pemodelan sistem dinamis nonlinier | Sistem dinamis nonlinier | Menunjukkan kemampuan LSTM mempelajari hubungan temporal pada sistem nonlinier. Keluaran model digunakan untuk pemodelan sistem, bukan untuk menghasilkan parameter pengendali PI. | Menjadi dasar penggunaan LSTM sebagai model pembelajaran temporal sekaligus pembanding klasik bagi QLSTM. || | QLSTM dengan VQC | Pemodelan data sekuensial | Mengembangkan arsitektur QLSTM hybrid quantum–classical dengan mengganti transformasi tertentu pada gerbang LSTM menggunakan VQC. Penelitian tidak diarahkan pada ELC atau penentuan gain pengendali PI. | Menjadi dasar metodologis perancangan arsitektur QLSTM sebagai model pembelajaran temporal. || | QLSTM untuk prediksi deret waktu | Prediksi irradiansi surya | Menerapkan QLSTM untuk mempelajari pola temporal pada irradiansi surya. Keluaran model berupa prediksi besaran energi dan bukan estimasi parameter pengendali. | Menunjukkan bahwa QLSTM dapat diterapkan pada data temporal sektor energi, tetapi fungsi modelnya berbeda dari penelitian ini. || | Perbandingan QLSTM dan LSTM | Prediksi daya surya | Membandingkan kinerja QLSTM dan LSTM pada dataset serta tugas prediksi yang sama. Penelitian tidak membahas integrasi keluaran model ke dalam sistem kendali closed-loop. | Menjadi dasar penggunaan LSTM sebagai pembanding untuk menilai nilai tambah VQC pada QLSTM secara empiris. || | QLSTM untuk kompensasi galat termal | Sumbu-Z mesin perkakas | Menggunakan QLSTM untuk mempelajari hubungan temporal dan mengompensasi galat termal. Penerapan dilakukan pada mesin perkakas dan tidak mencakup pengendalian frekuensi atau ELC. | Memperkuat potensi QLSTM untuk menghasilkan keluaran korektif berdasarkan informasi temporal, meskipun berbeda objek dan variabel keluaran. || Penelitian ini (2026) | QLSTM untuk penentuan gain PI adaptif | ELC PLTMH 100 kW pada sistem terisolasi | QLSTM mempelajari pemetaan jendela temporal kondisi operasi terhadap target gain dan . Target gain dibentuk melalui optimasi luring berbasis pencarian grid bertahap pada model simulasi. Keluaran QLSTM dibatasi, dihaluskan, dan diterapkan pada interval supervisori. Validasi dilakukan melalui simulasi numerik. | Mengintegrasikan pemodelan PLTMH–ELC, pembentukan target gain berbasis fungsi objektif, pembelajaran temporal QLSTM, dan penerapan gain PI adaptif dalam simulasi closed-loop. Kinerja dibandingkan dengan PI gain tetap dan PI adaptif berbasis LSTM."
2.10,6,284,PARAGRAPH,Normal,,,,0,0,0,
2.10,7,285,PARAGRAPH,Normal,,,,0,0,0,"Sintesis pada Tabel 2.1 menunjukkan tiga arah perkembangan penelitian. Arah pertama berkaitan dengan pengembangan ELC sebagai pengatur keseimbangan daya pada pembangkit hidro mandiri. , , , , dan memperlihatkan perkembangan konfigurasi dan fungsi ELC dalam regulasi frekuensi. Meskipun demikian, penelitian tersebut belum memanfaatkan jendela temporal kondisi operasi untuk menghasilkan gain PI adaptif."
